comment,context
솔직히 여기서 더해달라는거보면 업고 다녀달라는건지 의문임 뭘 어떻게 더해달라는건지 이해가 안감,"['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '나도 공익할때 시각장애인분 매번 에스코트했었는데 매주 같은 요일 비슷한 시간대에 와서 근처에 로또 명당가서 로또 사서 가시더라ㅋㅋㅋㅋ 전동휠체어타고 아침마다 가시는분은 일부러 나 서있는곳까지와서 인사하고 간식주고 가시고 좋은분들도 진짜 많은데..']"
아따 성과보소,"['이준석이 왜 전장연 시위를 비판하냐', '국힘 당대표 시절 대선전에 이미 만나서 추진할수있도록 하겠다고 했고 대화를 다했음 토론에서 나눴던 얘기 다했음 현실적으로 안되는 부분도 얘기했고 이미 실행되고 있는 부분도 있었고 지하철은 93프로가량 완료가 되었고 안되는 부분에 있어서 안되는 이유도 설명했고 그부분에 있어서는 노력중이라고 했음 저상버스관련해서도 대선공약에 넣은게 이준석임 근데 그렇게 시위를 한거 아직까지도 나도 장애인이동권이 개선되었으면 좋겠음 어느 미친자가 개선되지말라고 기도하고 다님 근데 이미 대화를 해서 풀어간 내용을 갑자기 대선때 시위를 한다? 뭐라고 받아들이겠음', '24년3월 기준 95.6% 완성']"
요즘 첼시기사 ㅈㄴ 올리시던데 이제 맹구로 타겟변경이네,"['더선 지부장 개좆병신전장연정회원님 맹구탭에서 비추받았으니 이제 눈에 쌍심지 키고 맨유 까는 기사 퍼오시겠네 ㅋㅋ', '[더선 독점] 항상 고생 많으십니다.']"
아시아도 못벗어나봤는데 내 이동권은 누가 보장해주냐..,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '이동권보장하라더니 나도못가본 프랑스까지가봤네 나보다이동잘하네....']"
인도같은데 가서 하지 ㄲㅂ,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '장애인새키들']"
제발 뒤졌으면좋겠다,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '꼴좋네 병신들 ㅋㅋ']"
혹시 프랑스에서 저toRl들 좆되게 못하나요? 저기 감옥에서 썩게 안되나..,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '난 일본도 못가서 빌빌거리는데']"
아휴 진짜 저게뭐냐.. 개쪽팔린다,"['이시각 루브르박물관 앞 전장연ㅋㅋㅋㅋㅋㅋ', '이동권 보장을 요구하며 루브르박물관에 드러누움ㅋㅋㅋㅋ 시발 난 용인 민속촌 박물관도 못가는데', '와 시발 할말을 잃었다']"
부럽다 부러워,"['싱글벙글 전장연 근황 ㄷㄷㄷㄷㄷ', '노르웨이 지하철에서도 저러는 중 패럴림픽 일정에 맞춰 독일-프랑스 순회 예정', '해외에서 저러면 개처맞는거 아니냐?']"
해외 잘다니네,"['싱글벙글 전장연 근황 ㄷㄷㄷㄷㄷ', '노르웨이 지하철에서도 저러는 중 패럴림픽 일정에 맞춰 독일-프랑스 순회 예정', '유럽만  돌지 말고 남미 쪽도 돌아라']"
난 좀 더 장려해야 한다고 생각하는데 넓은 땅에서 마음껏 시위할 수 있도록 세금으로 멕시코나 브라질로 보내서 엎어지도록 도와줬으면 좋겠다,"['우리나라 노르웨이에 역대급 수출 성공시킴ㄷㄷ', '전장연 수출함 ㄷㄷ', 'They are chinese']"
아 존나 쪽팔리네..좀ㅜ,"['우리나라 노르웨이에 역대급 수출 성공시킴ㄷㄷ', '전장연 수출함 ㄷㄷ', '에효']"
말빨지리시네ㅋㅋㅋㅋㅋㅋ,"['우당탕탕 전장연 부산 1호선 방문기', '??? : 마 병력 더 불러라 이 쉐끼야', '빤짝빤짝 🤡']"
못된 약자,"['부산으로 간 전장연', '', '마 병력더불러라 ㅅㄲ야 아재 존나 터프하다 ㅋㅋ  부산파이팅ㅋㅋ']"
